10107,30,95.7,2,02-24-2003,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,46,Michelle Gilbert,42765,2871,Sales5
10121,34,81.35,5,05-07-2003,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,42,Tammy Bird,47036,2765.9,Sales5
10134,41,94.74,2,07-01-2003,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,55,Paula Hill,48334,3884.34,Sales5
10145,45,83.26,6,08-25-2003,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,28,Brett Ward,44766,3746.7,Sales5
10159,49,100,14,10-10-2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,48,Jennifer Mason,33870,4900,Sales5
10168,36,96.66,1,10-28-2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,26,Olivia Hunter,15873,3479.76,Sales5
10180,29,86.13,9,11-11-2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,19,Cameron Mitchell,22830,2497.77,Sales5
10188,48,100,1,11-18-2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,25,Bonnie Bryant,34963,4800,Sales5
10201,22,98.57,2,12-01-2003,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,34,Elizabeth Miller,12633,2168.54,Sales5
10211,41,100,14,01-15-2004,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,22,Rachel Walker,45642,4100,Sales5
10223,37,100,1,02-20-2004,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,39,Nathaniel Lopez,28338,3700,Sales5
10237,23,100,7,04-05-2004,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,53,Victoria Griffin,49461,2300,Sales5
10251,28,100,2,05-18-2004,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,41,Angela Dominguez,47737,2800,Sales5
10263,34,100,2,06-28-2004,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,39,Nathaniel Lopez,28338,3400,Sales5
10275,45,92.83,1,07-23-2004,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,36,Alicia Mccarty,40741,4177.35,Sales5
10285,36,100,6,08-27-2004,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,31,John Conner,37266,3600,Sales5
10299,23,100,9,09-30-2004,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,31,John Conner,37266,2300,Sales5
10309,41,100,5,10-15-2004,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,13,Trevor Small,12250,4100,Sales5
10318,46,94.74,1,11-02-2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,38,Jason Santiago,10380,4358.04,Sales5
10329,42,100,1,11-15-2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,55,Paula Hill,48334,4200,Sales5
10341,41,100,9,11-24-2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,42,Tammy Bird,47036,4100,Sales5
10361,20,72.55,13,12-17-2004,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,33,Nicholas Calderon,14480,1451,Sales5
10375,21,34.91,12,02-03-2005,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,52,Jennifer Griffin,49321,733.11,Sales5
